"censusdate","period"
2004-04-17,311
2004-05-17,312
2004-06-19,313
2004-07-18,314
2004-08-19,315
2004-09-11,316
2004-10-16,317
2004-11-13,318
2004-12-11,319
2005-01-15,320
2005-03-12,321
2005-04-09,322
2005-05-07,323
2005-06-04,324
2005-07-09,325
2005-08-06,326
2005-09-03,327
2005-09-30,328
2005-11-05,329
2005-12-09,330
2006-01-07,331
2006-01-28,332
2006-03-04,333
2006-03-25,334
2006-04-29,335
2006-05-27,336
2006-06-25,337
2006-07-22,338
2006-08-20,339
2006-09-23,340
2006-10-21,341
2006-11-18,342
2006-12-16,343
2007-01-21,344
2007-02-17,345
2007-03-17,346
2007-04-14,347
2007-05-19,348
2007-06-16,349
2007-07-14,350
2007-08-11,351
2007-09-08,352
2007-10-13,353
2007-11-10,354
2007-12-15,355
2008-01-12,356
2008-02-09,357
2008-03-09,358
2008-04-06,359
2008-05-03,360
2008-06-07,361
2008-06-28,362
2008-07-26,363
2008-08-30,364
2008-09-27,365
2008-10-26,366
2008-11-22,367
2008-12-20,368
2009-01-24,369
2009-02-21,370
2009-03-21,371
2009-04-26,372
2009-05-23,373
2009-06-20,374
2009-07-29,375
2009-08-22,376
2009-09-19,377
2009-10-17,378
2009-11-14,379
2009-12-12,380
2010-01-16,381
2010-02-13,382
2010-03-13,383
2010-04-17,384
2010-05-15,385
2010-07-10,386
2010-09-05,387
2010-11-06,388
2011-01-05,389
2011-03-14,391
2011-04-02,392
2011-05-07,393
2011-05-26,394
2011-07-02,395
2011-08-06,396
2011-08-27,397
2011-10-01,398
2011-10-22,399
2011-12-17,400
2012-01-21,401
2012-02-19,402
2012-03-12,403
2012-04-21,404
2012-05-26,405
2012-06-16,406
2012-07-28,407
2012-08-18,408
2012-09-15,409
2012-10-13,410
2012-11-10,411
2012-12-08,412
2013-01-12,413
2013-02-16,414
2013-03-13,415
2013-04-13,416
2013-05-11,417
2013-07-06,418
2013-09-14,419
2013-11-02,420
2013-12-29,421
2014-02-01,422
2014-03-01,423
2014-03-29,424
2014-04-26,425
2014-05-31,426
2014-06-28,427
2014-08-02,428
2014-08-30,429
2014-09-27,430
2014-10-25,431
2014-11-22,432
2014-12-13,433
2015-01-17,434
2015-02-21,435
2015-03-26,436
