"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0
0,0,0,0,1,0,0,0,4,0,0,0,0,4,3,0,4,0,0,0,0
0,0,0,0,2,0,0,0,5,0,0,0,0,5,2,0,3,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,0,9,0,0,0,0
0,0,0,0,1,3,1,0,0,0,0,0,0,4,6,0,9,0,0,0,0
0,0,0,0,1,0,2,0,2,0,0,0,0,3,6,0,5,0,0,1,0
0,0,0,0,3,0,2,0,1,0,0,0,0,2,5,0,1,0,0,0,0
0,0,0,0,1,0,1,0,3,0,0,0,0,3,0,0,5,0,0,0,0
0,1,0,0,3,0,1,0,6,0,0,0,0,4,0,0,14,0,0,0,0
0,1,0,0,2,0,1,0,2,0,0,0,0,2,0,0,17,0,0,0,0
0,1,0,0,1,0,1,0,3,0,0,0,0,4,0,1,14,0,0,2,0
0,2,0,0,1,0,2,0,2,0,0,0,0,4,1,1,7,0,0,2,0
0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,0,5,0,0,2,0
0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,0,1,0,0,2,0
0,0,0,0,2,0,3,0,1,0,0,0,0,0,4,1,3,0,0,1,0
0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0
0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,2,0
0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,1,3,0,0,4,0
0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,10,0,0,1,0
0,0,0,0,2,0,6,0,1,0,0,0,0,1,0,0,13,0,0,2,0
0,1,0,0,2,3,5,0,3,0,0,0,0,2,0,0,13,0,0,2,0
0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,1,12,0,0,4,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,13,0,0,3,0
0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,10,0,0,5,0
0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,9,0,0,6,0
0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,7,0,0,5,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,4,0,0,2,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,4,0
0,0,0,0,1,0,5,0,3,0,0,0,0,0,1,2,2,0,0,1,0
2,0,0,0,1,0,4,0,3,1,0,0,0,0,2,0,11,0,1,0,0
1,0,0,0,2,0,1,0,5,2,0,0,0,0,0,0,17,0,1,0,0
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,2,1,0
0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,8,0,2,0,0
0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,10,0,0,2,0
0,0,0,0,1,0,1,0,3,4,0,0,0,0,0,0,7,0,0,2,0
1,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,11,0,0,1,0
1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,5,0,2,1,0
1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,1,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0
1,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,3,0,0,0,0
0,1,0,0,0,0,4,0,3,2,0,0,0,0,0,0,7,0,0,0,0
2,2,0,0,0,0,3,0,2,3,0,0,0,0,0,0,8,0,0,0,0
1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,11,0,0,0,0
1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,8,0,0,0,0
1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0
2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
2,2,0,0,0,1,3,0,1,1,0,0,0,0,3,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,2,0,1,0,1,0,0,0,0,0,3,0,2,0,2,0,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,1,0,1,0,0
1,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,1,0
1,0,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0
5,0,0,0,1,0,4,0,2,4,0,0,0,0,2,0,10,0,1,0,4
4,0,0,0,1,2,4,0,2,2,0,0,0,0,1,0,10,0,0,0,2
3,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,7,0,0,0,1
1,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,3
2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,9,0,0,0,2
0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,0,1,1,0,0,2,0,0,0,0,6,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0
0,0,0,0,0,1,1,0,1,1,0,1,0,0,3,0,1,0,0,0,0
0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0
0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1
