period,mo,dy,yr,date,plots
1,7,16,1977,7/16/1977,23
2,8,19,1977,8/19/1977,23
3,9,11,1977,9/11/1977,23
4,10,16,1977,10/16/1977,23
5,11,12,1977,11/12/1977,23
6,12,10,1977,12/10/1977,23
7,1,8,1978,1/8/1978,23
8,2,18,1978,2/18/1978,23
9,3,11,1978,3/11/1978,23
10,4,8,1978,4/8/1978,23
11,5,17,1978,5/17/1978,23
12,6,8,1978,6/8/1978,23
13,7,7,1978,7/7/1978,23
14,8,4,1978,8/4/1978,23
15,9,3,1978,9/3/1978,23
16,10,6,1978,10/6/1978,23
17,11,4,1978,11/4/1978,23
18,12,2,1978,12/2/1978,23
19,1,28,1979,1/28/1979,23
20,2,24,1979,2/24/1979,23
21,3,31,1979,3/31/1979,23
22,4,28,1979,4/28/1979,23
23,5,29,1979,5/29/1979,23
24,7,3,1979,7/3/1979,23
25,7,24,1979,7/24/1979,23
26,8,21,1979,8/21/1979,23
27,9,22,1979,9/22/1979,24
28,10,24,1979,10/24/1979,24
29,11,17,1979,11/17/1979,24
30,1,15,1980,1/15/1980,24
31,2,24,1980,2/24/1980,24
32,3,21,1980,3/21/1980,24
33,4,17,1980,4/17/1980,24
34,5,17,1980,5/17/1980,24
35,6,22,1980,6/22/1980,24
36,7,21,1980,7/21/1980,24
37,8,13,1980,8/13/1980,24
38,9,7,1980,9/7/1980,24
39,10,11,1980,10/11/1980,24
40,11,8,1980,11/8/1980,24
41,12,15,1980,12/15/1980,24
42,1,11,1981,1/11/1981,23
43,1,31,1981,1/31/1981,24
44,3,8,1981,3/8/1981,24
45,5,3,1981,5/3/1981,24
46,6,4,1981,6/4/1981,24
47,7,7,1981,7/7/1981,24
48,7,30,1981,7/30/1981,24
49,8,30,1981,8/30/1981,24
50,9,29,1981,9/29/1981,24
51,10,24,1981,10/24/1981,24
52,11,22,1981,11/22/1981,24
53,12,30,1981,12/30/1981,24
54,1,24,1982,1/24/1982,24
55,2,22,1982,2/22/1982,24
56,3,29,1982,3/29/1982,24
57,4,28,1982,4/28/1982,24
58,5,21,1982,5/21/1982,24
59,6,28,1982,6/28/1982,24
60,7,25,1982,7/25/1982,24
61,8,15,1982,8/15/1982,24
62,9,18,1982,9/18/1982,24
63,11,21,1982,11/21/1982,24
64,1,12,1983,1/12/1983,24
65,2,26,1983,2/26/1983,24
66,3,14,1983,3/14/1983,24
67,4,16,1983,4/16/1983,24
68,5,14,1983,5/14/1983,24
69,6,17,1983,6/17/1983,24
70,7,16,1983,7/16/1983,24
71,8,15,1983,8/15/1983,24
72,9,10,1983,9/10/1983,24
73,10,15,1983,10/15/1983,24
74,11,12,1983,11/12/1983,24
75,12,8,1983,12/8/1983,24
76,2,4,1984,2/4/1984,24
77,3,12,1984,3/12/1984,24
78,4,9,1984,4/9/1984,24
79,5,27,1984,5/27/1984,24
80,7,3,1984,7/3/1984,24
81,7,31,1984,7/31/1984,24
82,8,25,1984,8/25/1984,24
83,9,29,1984,9/29/1984,24
84,10,20,1984,10/20/1984,24
85,12,30,1984,12/30/1984,24
86,1,19,1985,1/19/1985,24
87,2,16,1985,2/16/1985,24
88,3,16,1985,3/16/1985,24
89,5,23,1985,5/23/1985,24
90,6,15,1985,6/15/1985,24
91,7,23,1985,7/23/1985,24
92,8,19,1985,8/19/1985,24
93,9,21,1985,9/21/1985,24
94,10,12,1985,10/12/1985,24
95,11,16,1985,11/16/1985,24
96,12,7,1985,12/7/1985,24
97,3,8,1986,3/8/1986,24
98,4,12,1986,4/12/1986,24
99,5,10,1986,5/10/1986,24
100,6,4,1986,6/4/1986,24
101,7,3,1986,7/3/1986,24
102,8,9,1986,8/9/1986,24
103,9,6,1986,9/6/1986,24
104,10,4,1986,10/4/1986,24
105,11,15,1986,11/15/1986,24
106,12,14,1986,12/14/1986,24
107,1,31,1987,1/31/1987,24
108,3,1,1987,3/1/1987,24
109,4,4,1987,4/4/1987,24
110,4,25,1987,4/25/1987,24
111,5,28,1987,5/28/1987,24
112,6,30,1987,6/30/1987,24
113,7,25,1987,7/25/1987,24
114,8,25,1987,8/25/1987,24
115,9,26,1987,9/26/1987,24
116,10,24,1987,10/24/1987,24
117,11,21,1987,11/21/1987,24
118,1,23,1988,1/23/1988,24
119,2,21,1988,2/21/1988,24
120,3,20,1988,3/20/1988,24
121,4,17,1988,4/17/1988,24
122,5,14,1988,5/14/1988,24
123,6,11,1988,6/11/1988,24
124,7,14,1988,7/14/1988,24
125,8,9,1988,8/9/1988,24
126,9,11,1988,9/11/1988,24
127,10,8,1988,10/8/1988,24
128,11,5,1988,11/5/1988,24
129,12,13,1988,12/13/1988,24
130,1,10,1989,1/10/1989,24
131,2,4,1989,2/4/1989,24
132,3,11,1989,3/11/1989,24
133,4,1,1989,4/1/1989,24
134,5,9,1989,5/9/1989,24
135,6,3,1989,6/3/1989,24
136,7,3,1989,7/3/1989,24
137,7,29,1989,7/29/1989,24
138,9,3,1989,9/3/1989,24
139,10,7,1989,10/7/1989,24
140,11,4,1989,11/4/1989,24
