period,mo,dy,yr,date,plots
141,12,4,1989,12/4/1989,24
142,1,6,1990,1/6/1990,24
143,1,29,1990,1/29/1990,24
144,2,24,1990,2/24/1990,24
145,3,29,1990,3/29/1990,24
146,4,24,1990,4/24/1990,24
147,5,23,1990,5/23/1990,24
148,6,21,1990,6/21/1990,22
149,7,21,1990,7/21/1990,24
150,8,16,1990,8/16/1990,24
151,9,22,1990,9/22/1990,19
152,10,15,1990,10/15/1990,22
153,11,10,1990,11/10/1990,24
154,12,15,1990,12/15/1990,23
155,1,11,1991,1/11/1991,24
156,2,16,1991,2/16/1991,24
157,3,13,1991,3/13/1991,24
158,4,19,1991,4/19/1991,24
159,5,13,1991,5/13/1991,24
160,6,13,1991,6/13/1991,24
161,7,12,1991,7/12/1991,24
162,8,7,1991,8/7/1991,24
163,9,9,1991,9/9/1991,24
164,10,10,1991,10/10/1991,24
165,11,13,1991,11/13/1991,24
166,12,7,1991,12/7/1991,24
167,1,8,1992,1/8/1992,24
168,2,6,1992,2/6/1992,24
169,3,7,1992,3/7/1992,24
170,4,4,1992,4/4/1992,24
171,5,2,1992,5/2/1992,24
172,5,30,1992,5/30/1992,24
173,7,3,1992,7/3/1992,24
174,7,30,1992,7/30/1992,24
175,8,29,1992,8/29/1992,24
176,9,26,1992,9/26/1992,24
177,10,18,1992,10/18/1992,24
178,12,21,1992,12/21/1992,24
179,1,23,1993,1/23/1993,24
180,2,19,1993,2/19/1993,24
181,3,17,1993,3/17/1993,24
182,4,23,1993,4/23/1993,24
183,5,22,1993,5/22/1993,24
184,6,18,1993,6/18/1993,24
185,7,14,1993,7/14/1993,24
186,8,19,1993,8/19/1993,24
187,9,16,1993,9/16/1993,24
188,10,15,1993,10/15/1993,24
189,11,13,1993,11/13/1993,24
190,12,14,1993,12/14/1993,24
191,2,1,1994,2/1/1994,24
192,2,20,1994,2/20/1994,24
193,3,11,1994,3/11/1994,24
194,4,10,1994,4/10/1994,24
195,5,18,1994,5/18/1994,24
196,6,14,1994,6/14/1994,24
197,7,8,1994,7/8/1994,24
198,8,17,1994,8/17/1994,24
199,9,6,1994,9/6/1994,24
200,10,12,1994,10/12/1994,24
201,11,1,1994,11/1/1994,24
202,12,4,1994,12/4/1994,24
203,1,11,1995,1/11/1995,24
204,2,4,1995,2/4/1995,24
205,3,4,1995,3/4/1995,24
206,4,1,1995,4/1/1995,24
207,4,29,1995,4/29/1995,24
208,6,7,1995,6/7/1995,24
209,6,27,1995,6/27/1995,24
210,7,20,1995,7/20/1995,24
211,8,26,1995,8/26/1995,24
212,9,23,1995,9/23/1995,24
213,10,28,1995,10/28/1995,24
214,12,2,1995,12/2/1995,24
215,12,21,1995,12/21/1995,24
216,1,27,1996,1/27/1996,24
217,2,24,1996,2/24/1996,24
218,3,23,1996,3/23/1996,24
219,4,14,1996,4/14/1996,24
220,5,23,1996,5/23/1996,24
221,6,13,1996,6/13/1996,24
222,7,20,1996,7/20/1996,24
223,8,14,1996,8/14/1996,24
224,9,21,1996,9/21/1996,24
225,10,12,1996,10/12/1996,24
226,11,16,1996,11/16/1996,24
227,12,18,1996,12/18/1996,24
228,2,8,1997,2/8/1997,24
229,3,15,1997,3/15/1997,24
230,4,12,1997,4/12/1997,24
231,5,10,1997,5/10/1997,24
232,6,9,1997,6/9/1997,24
233,7,9,1997,7/9/1997,24
234,7,29,1997,7/29/1997,24
235,9,27,1997,9/27/1997,24
236,10,25,1997,10/25/1997,24
237,11,22,1997,11/22/1997,24
238,12,28,1997,12/28/1997,24
239,1,31,1998,1/31/1998,24
240,3,1,1998,3/1/1998,24
241,3,29,1998,3/29/1998,12
242,5,2,1998,5/2/1998,24
243,5,28,1998,5/28/1998,24
244,6,27,1998,6/27/1998,24
245,7,18,1998,7/18/1998,24
246,8,22,1998,8/22/1998,24
247,9,19,1998,9/19/1998,24
248,10,24,1998,10/24/1998,24
249,11,21,1998,11/21/1998,24
250,12,22,1998,12/22/1998,24
251,1,16,1999,1/16/1999,24
252,2,20,1999,2/20/1999,23
253,3,14,1999,3/14/1999,24
254,4,17,1999,4/17/1999,24
255,5,15,1999,5/15/1999,24
256,6,12,1999,6/12/1999,24
257,9,11,1999,9/11/1999,24
258,10,9,1999,10/9/1999,24
259,11,6,1999,11/6/1999,24
260,12,5,1999,12/5/1999,24
261,1,8,2000,1/8/2000,24
262,2,5,2000,2/5/2000,24
263,3,4,2000,3/4/2000,23
264,4,29,2000,4/29/2000,24
265,6,3,2000,6/3/2000,24
266,7,1,2000,7/1/2000,24
267,7,22,2000,7/22/2000,14
268,8,25,2000,8/25/2000,24
269,9,30,2000,9/30/2000,24
270,11,25,2000,11/25/2000,24
271,12,22,2000,12/22/2000,24
272,1,21,2001,1/21/2001,22
273,3,3,2001,3/3/2001,23
274,3,24,2001,3/24/2001,24
275,4,21,2001,4/21/2001,24
276,5,26,2001,5/26/2001,24
277,6,25,2001,6/25/2001,12
278,7,22,2001,7/22/2001,12
279,8,25,2001,8/25/2001,24
280,9,22,2001,9/22/2001,24
281,10,13,2001,10/13/2001,24
282,11,17,2001,11/17/2001,24
283,12,15,2001,12/15/2001,12
284,1,12,2002,1/12/2002,11
285,2,9,2002,2/9/2002,24
286,3,13,2002,3/13/2002,24
287,4,16,2002,4/16/2002,24
288,5,15,2002,5/15/2002,24
289,6,15,2002,6/15/2002,24
290,7,13,2002,7/13/2002,24
291,9,8,2002,9/8/2002,24
292,10,5,2002,10/5/2002,24
293,11,9,2002,11/9/2002,24
294,12,7,2002,12/7/2002,24
295,12,29,2002,12/29/2002,24
296,2,1,2003,2/1/2003,24
297,3,6,2003,3/6/2003,24
298,3,29,2003,3/29/2003,24
299,5,3,2003,5/3/2003,24
300,5,28,2003,5/28/2003,24
301,6,28,2003,6/28/2003,24
302,7,28,2003,7/28/2003,24
303,8,23,2003,8/23/2003,24
304,9,27,2003,9/27/2003,24
305,10,25,2003,10/25/2003,24
306,11,22,2003,11/22/2003,23
307,12,20,2003,12/20/2003,24
308,1,24,2004,1/24/2004,24
309,2,21,2004,2/21/2004,24
310,3,17,2004,3/17/2004,24
311,4,17,2004,4/17/2004,23
312,5,17,2004,5/17/2004,24
313,6,19,2004,6/19/2004,22
314,7,18,2004,7/18/2004,23
315,8,19,2004,8/19/2004,24
316,9,11,2004,9/11/2004,24
317,10,16,2004,10/16/2004,24
318,11,13,2004,11/13/2004,12
319,12,11,2004,12/11/2004,24
320,1,15,2005,1/15/2005,24
321,3,12,2005,3/12/2005,23
322,4,9,2005,4/9/2005,24
323,5,7,2005,5/7/2005,23
324,6,4,2005,6/4/2005,24
325,7,9,2005,7/9/2005,24
326,8,6,2005,8/6/2005,24
327,9,3,2005,9/3/2005,24
328,9,30,2005,9/30/2005,24
329,11,5,2005,11/5/2005,24
330,12,9,2005,12/9/2005,24
331,1,7,2006,1/7/2006,24
332,1,28,2006,1/28/2006,24
333,3,4,2006,3/4/2006,24
334,3,25,2006,3/25/2006,24
335,4,29,2006,4/29/2006,24
336,5,27,2006,5/27/2006,24
337,6,25,2006,6/25/2006,12
338,7,22,2006,7/22/2006,24
339,8,20,2006,8/20/2006,12
340,9,23,2006,9/23/2006,24
341,10,21,2006,10/21/2006,24
342,11,18,2006,11/18/2006,24
343,12,16,2006,12/16/2006,24
344,1,21,2007,1/21/2007,12
345,2,17,2007,2/17/2007,24
346,3,17,2007,3/17/2007,24
347,4,14,2007,4/14/2007,24
348,5,19,2007,5/19/2007,24
349,6,16,2007,6/16/2007,24
350,7,14,2007,7/14/2007,24
351,8,11,2007,8/11/2007,12
352,9,8,2007,9/8/2007,24
353,10,13,2007,10/13/2007,24
354,11,10,2007,11/10/2007,24
355,12,15,2007,12/15/2007,24
356,1,12,2008,1/12/2008,24
357,2,9,2008,2/9/2008,24
358,3,9,2008,3/9/2008,24
359,4,6,2008,4/6/2008,24
360,5,3,2008,5/3/2008,24
361,6,7,2008,6/7/2008,24
362,6,28,2008,6/28/2008,24
363,7,26,2008,7/26/2008,24
364,8,30,2008,8/30/2008,24
365,9,27,2008,9/27/2008,24
366,10,26,2008,10/26/2008,24
367,11,22,2008,11/22/2008,24
368,12,20,2008,12/20/2008,24
369,1,24,2009,1/24/2009,24
370,2,21,2009,2/21/2009,24
371,3,21,2009,3/21/2009,24
372,4,26,2009,4/26/2009,24
373,5,23,2009,5/23/2009,24
374,6,20,2009,6/20/2009,24
375,7,29,2009,7/29/2009,24
376,8,22,2009,8/22/2009,24
377,9,19,2009,9/19/2009,24
378,10,17,2009,10/17/2009,24
379,11,14,2009,11/14/2009,24
380,12,12,2009,12/12/2009,24
381,1,16,2010,1/16/2010,24
382,2,13,2010,2/13/2010,24
383,3,13,2010,3/13/2010,24
384,4,17,2010,4/17/2010,24
385,5,15,2010,5/15/2010,24
386,7,10,2010,7/10/2010,24
387,9,5,2010,9/5/2010,24
388,11,6,2010,11/6/2010,24
389,1,5,2011,1/5/2011,24
390,2,5,2011,2/5/2011,24
391,3,14,2011,3/14/2011,24
392,4,2,2011,4/2/2011,24
393,5,8,2011,5/8/2011,24
394,5,26,2011,5/26/2011,23
395,7,3,2011,7/3/2011,24
396,8,6,2011,8/6/2011,24
397,8,27,2011,8/27/2011,24
398,10,1,2011,10/1/2011,24
399,10,22,2011,10/22/2011,24
400,12,17,2011,12/17/2011,12
401,1,21,2012,1/21/2012,24
402,2,19,2012,2/19/2012,24
403,3,12,2012,3/12/2012,24
404,4,21,2012,4/21/2012,24
405,5,26,2012,5/26/2012,24
406,6,16,2012,6/16/2012,24
407,7,28,2012,7/28/2012,24
408,8,18,2012,8/18/2012,24
409,9,15,2012,9/15/2012,24
410,10,13,2012,10/13/2012,24
411,11,10,2012,11/10/2012,24
412,12,8,2012,12/8/2012,24
413,1,12,2013,1/12/2013,24
414,2,16,2013,2/16/2013,24
415,3,13,2013,3/13/2013,24
416,4,14,2013,4/14/2013,24
417,5,11,2013,5/11/2013,24
418,7,6,2013,7/6/2013,24
419,9,15,2013,9/15/2013,24
420,11,2,2013,11/2/2013,24
421,12,29,2013,12/29/2013,24
422,2,1,2014,2/1/2014,24
423,3,1,2014,3/1/2014,24
424,3,29,2014,3/29/2014,24
425,4,26,2014,4/26/2014,24
426,5,31,2014,5/31/2014,24
427,6,28,2014,6/28/2014,24
428,8,2,2014,8/2/2014,24
429,8,30,2014,8/30/2014,24
430,9,27,2014,9/27/2014,24
431,10,25,2014,10/25/2014,24
432,11,22,2014,11/22/2014,24
433,12,13,2014,12/13/2014,12
434,1,17,2015,1/17/2015,24
435,2,21,2015,2/21/2015,24
436,3,26,2015,3/26/2015,24
437,4,18,2015,4/18/2015,24
438,5,16,2015,5/16/2015,24
439,6,13,2015,6/16/2015,24
440,7,18,2015,7/18/2015,24
441,8,22,2015,8/22/2015,24
442,9,12,2015,9/12/2015,24
443,10,10,2015,10/10/2015,24
444,11,14,2015,11/14/2015,24
445,1,10,2016,1/10/2016,12
446,2,13,2016,2/13/2016,24
447,3,19,2016,3/19/2016,24
448,4,10,2016,4/10/2016,12
449,5,7,2016,5/4/2016,24
450,6,4,2016,6/4/2016,24
451,7,2,2016,7/2/2016,24
